        step	          pH	        temp	         Alk	          mu	     pct_err	      m_Ca+2	      m_Mg+2	        m_K+	       m_Na+	     m_HCO3-	    m_H4SiO4	      m_Al+3	     la_Ca+2	     la_Mg+2	    la_HCO3-	  si_Calcite	 si_Dolomite	 si_Gibbsite	si_Kaolinite	   si_Quartz	si_Anorthite	 si_Diopside	si_Forsterite	 k_Anorthite	dk_Anorthite	  k_Diopside	 dk_Diopside	k_Forsterite	dk_Forsterite	        Step	          pH	  Alkalinity	     Ca_conc	     Mg_conc	   HCO3_conc	
          30	     4.82678	      18.000	-1.42869e-05	 0.000150374	     77.9171	  3.0051e-05	  1.6510e-05	  4.0001e-05	  2.0001e-05	  3.5916e-07	  5.1763e-05	  7.7246e-07	 -4.5464e+00	 -4.8064e+00	 -6.4508e+00	     -8.1227	    -16.4689	     -0.1973	      0.0000	     -0.2000	    -13.7425	    -19.0817	    -23.7538	  1.5000e+00	 -6.0344e-08	  8.0000e-01	 -1.3634e-08	  3.0000e-01	 -7.5472e-07	  3.0000e+01	  4.8268e+00	 -1.4287e-05	  3.0051e-05	  1.6510e-05	  3.5916e-07	
          31	     4.82873	      18.000	 -1.4221e-05	 0.000150396	     77.9157	  3.0053e-05	  1.6560e-05	  4.0001e-05	  2.0001e-05	  3.6074e-07	  5.1763e-05	  7.6212e-07	 -4.5463e+00	 -4.8051e+00	 -6.4489e+00	     -8.1188	    -16.4599	     -0.1973	     -0.0000	     -0.2000	    -13.7386	    -19.0725	    -23.7433	  1.5000e+00	 -6.2355e-08	  8.0000e-01	 -1.4089e-08	  3.0000e-01	 -7.7987e-07	  3.1000e+01	  4.8287e+00	 -1.4221e-05	  3.0053e-05	  1.6560e-05	  3.6074e-07	
          32	     4.83069	      18.000	-1.41549e-05	 0.000150417	     77.9143	  3.0056e-05	  1.6611e-05	  4.0001e-05	  2.0001e-05	  3.6233e-07	  5.1763e-05	  7.5185e-07	 -4.5463e+00	 -4.8038e+00	 -6.4469e+00	     -8.1149	    -16.4508	     -0.1973	      0.0000	     -0.2000	    -13.7346	    -19.0633	    -23.7328	  1.5000e+00	 -6.4367e-08	  8.0000e-01	 -1.4543e-08	  3.0000e-01	 -8.0503e-07	  3.2000e+01	  4.8307e+00	 -1.4155e-05	  3.0056e-05	  1.6611e-05	  3.6233e-07	
          33	     4.83267	      18.000	-1.40886e-05	 0.000150439	     77.9128	  3.0058e-05	  1.6662e-05	  4.0001e-05	  2.0001e-05	  3.6394e-07	  5.1763e-05	  7.4165e-07	 -4.5463e+00	 -4.8024e+00	 -6.4450e+00	     -8.1109	    -16.4416	     -0.1973	      0.0000	     -0.2000	    -13.7306	    -19.0540	    -23.7222	  1.5000e+00	 -6.6378e-08	  8.0000e-01	 -1.4998e-08	  3.0000e-01	 -8.3019e-07	  3.3000e+01	  4.8327e+00	 -1.4089e-05	  3.0058e-05	  1.6662e-05	  3.6394e-07	
          34	     4.83467	      18.000	-1.40221e-05	 0.000150461	     77.9113	  3.0061e-05	  1.6713e-05	  4.0001e-05	  2.0001e-05	  3.6557e-07	  5.1763e-05	  7.3151e-07	 -4.5462e+00	 -4.8011e+00	 -6.4431e+00	     -8.1070	    -16.4324	     -0.1973	      0.0000	     -0.2000	    -13.7266	    -19.0447	    -23.7116	  1.5000e+00	 -6.8389e-08	  8.0000e-01	 -1.5452e-08	  3.0000e-01	 -8.5535e-07	  3.4000e+01	  4.8347e+00	 -1.4022e-05	  3.0061e-05	  1.6713e-05	  3.6557e-07	
          35	     4.83668	      18.000	-1.39554e-05	 0.000150483	     77.9099	  3.0063e-05	  1.6763e-05	  4.0001e-05	  2.0001e-05	  3.6722e-07	  5.1763e-05	  7.2143e-07	 -4.5462e+00	 -4.7998e+00	 -6.4411e+00	     -8.1030	    -16.4231	     -0.1973	      0.0000	     -0.2000	    -13.7225	    -19.0353	    -23.7010	  1.5000e+00	 -7.0401e-08	  8.0000e-01	 -1.5907e-08	  3.0000e-01	 -8.8050e-07	  3.5000e+01	  4.8367e+00	 -1.3955e-05	  3.0063e-05	  1.6763e-05	  3.6722e-07	
          36	      4.8387	      18.000	-1.38885e-05	 0.000150506	     77.9084	  3.0066e-05	  1.6814e-05	  4.0001e-05	  2.0001e-05	  3.6889e-07	  5.1763e-05	  7.1143e-07	 -4.5462e+00	 -4.7985e+00	 -6.4392e+00	     -8.0989	    -16.4138	     -0.1973	      0.0000	     -0.2000	    -13.7184	    -19.0259	    -23.6903	  1.5000e+00	 -7.2412e-08	  8.0000e-01	 -1.6361e-08	  3.0000e-01	 -9.0566e-07	  3.6000e+01	  4.8387e+00	 -1.3888e-05	  3.0066e-05	  1.6814e-05	  3.6889e-07	
          37	     4.84074	      18.000	-1.38214e-05	 0.000150528	     77.9068	  3.0068e-05	  1.6865e-05	  4.0001e-05	  2.0001e-05	  3.7058e-07	  5.1763e-05	  7.0148e-07	 -4.5461e+00	 -4.7972e+00	 -6.4372e+00	     -8.0949	    -16.4044	     -0.1973	     -0.0000	     -0.2000	    -13.7143	    -19.0164	    -23.6795	  1.5000e+00	 -7.4424e-08	  8.0000e-01	 -1.6816e-08	  3.0000e-01	 -9.3082e-07	  3.7000e+01	  4.8407e+00	 -1.3821e-05	  3.0068e-05	  1.6865e-05	  3.7058e-07	
          38	     4.84279	      18.000	 -1.3754e-05	 0.000150551	     77.9053	  3.0070e-05	  1.6915e-05	  4.0001e-05	  2.0001e-05	  3.7229e-07	  5.1763e-05	  6.9161e-07	 -4.5461e+00	 -4.7959e+00	 -6.4352e+00	     -8.0908	    -16.3949	     -0.1973	     -0.0000	     -0.2000	    -13.7102	    -19.0068	    -23.6687	  1.5000e+00	 -7.6435e-08	  8.0000e-01	 -1.7270e-08	  3.0000e-01	 -9.5597e-07	  3.8000e+01	  4.8428e+00	 -1.3754e-05	  3.0070e-05	  1.6915e-05	  3.7229e-07	
          39	     4.84486	      18.000	-1.36865e-05	 0.000150574	     77.9038	  3.0073e-05	  1.6966e-05	  4.0001e-05	  2.0001e-05	  3.7402e-07	  5.1763e-05	  6.8180e-07	 -4.5461e+00	 -4.7946e+00	 -6.4332e+00	     -8.0867	    -16.3854	     -0.1973	      0.0000	     -0.2000	    -13.7060	    -18.9972	    -23.6578	  1.5000e+00	 -7.8447e-08	  8.0000e-01	 -1.7725e-08	  3.0000e-01	 -9.8113e-07	  3.9000e+01	  4.8449e+00	 -1.3686e-05	  3.0073e-05	  1.6966e-05	  3.7402e-07	
